date,home_team,away_team,home_goals,away_goals,stage,tournament
2026-06-11,Mexico,South Africa,2,0,group,WC2026
2026-06-12,South Korea,Czech Republic,2,1,group,WC2026
2026-06-12,Canada,Bosnia & Herzegovina,1,1,group,WC2026
2026-06-13,USA,Paraguay,4,1,group,WC2026
2026-06-13,Qatar,Switzerland,1,1,group,WC2026
2026-06-14,Brazil,Morocco,1,1,group,WC2026
2026-06-14,Haiti,Scotland,0,1,group,WC2026
2026-06-14,Australia,Türkiye,2,0,group,WC2026
2026-06-14,Germany,Curaçao,7,1,group,WC2026
2026-06-14,Netherlands,Japan,2,2,group,WC2026
2026-06-15,Ivory Coast,Ecuador,1,0,group,WC2026
2026-06-15,Sweden,Tunisia,5,1,group,WC2026
2026-06-15,Spain,Cape Verde Islands,0,0,group,WC2026
2026-06-15,Belgium,Egypt,1,1,group,WC2026
2026-06-16,Saudi Arabia,Uruguay,1,1,group,WC2026
2026-06-16,Iran,New Zealand,2,2,group,WC2026
2026-06-16,France,Senegal,3,1,group,WC2026
2026-06-17,Iraq,Norway,1,4,group,WC2026
2026-06-17,Argentina,Algeria,3,0,group,WC2026
2026-06-17,Austria,Jordan,3,1,group,WC2026
2026-06-17,Portugal,Congo DR,1,1,group,WC2026
2026-06-17,England,Croatia,4,2,group,WC2026
2026-06-18,Ghana,Panama,1,0,group,WC2026
2026-06-18,Uzbekistan,Colombia,1,3,group,WC2026
2026-06-18,Czech Republic,South Africa,1,0,group,WC2026
